Date,GLEV,CRUTS_PET,REA,ERA5,MERRA2,NCEP_NARR
10/1/1957,,13536.08793,,7069.369983,,
11/1/1957,,8890.572973,,3797.85967,,
12/1/1957,,6584.556567,,2541.928755,,
1/1/1958,,6763.331808,,1502.873578,,
2/1/1958,,6579.870628,,899.4886145,,
3/1/1958,,9552.430313,,2339.754171,,
4/1/1958,,15655.71703,,4100.676086,,
5/1/1958,,26822.78479,,8867.319696,,
6/1/1958,,28518.80041,,13553.09737,,
7/1/1958,,35595.15685,,14002.30807,,
8/1/1958,,33171.48288,,12735.89259,,
9/1/1958,,24302.84882,,10742.89071,,
10/1/1958,,17919.17274,,6528.712186,,
11/1/1958,,9920.048623,,3953.487365,,
12/1/1958,,7985.6,,2279.787035,,
1/1/1959,,6248.875214,,2192.159441,,
2/1/1959,,7056.818504,,1996.43137,,
3/1/1959,,14251.71299,,2880.491814,,
4/1/1959,,20701.15423,,6537.809559,,
5/1/1959,,23653.42036,,12505.87378,,
6/1/1959,,33623.38633,,12863.39599,,
7/1/1959,,39028.28349,,13830.3105,,
8/1/1959,,32020.99995,,13779.39568,,
9/1/1959,,22207.92422,,10719.19857,,
10/1/1959,,16358.08366,,6052.815889,,
11/1/1959,,11315.33386,,3056.446609,,
12/1/1959,,7729.988827,,2673.097851,,
1/1/1960,,6181.453873,,1635.706017,,
2/1/1960,,7063.539132,,650.1661081,,
3/1/1960,,12704.83147,,1761.560668,,
4/1/1960,,17948.26079,,6654.595483,,
5/1/1960,,25048.64807,,11248.26425,,
6/1/1960,,34330.23741,,12710.90993,,
7/1/1960,,37633.78083,,13036.19209,,
8/1/1960,,33473.0189,,13844.72679,,
9/1/1960,,25874.21811,,9685.329264,,
10/1/1960,,15808.62989,,6847.395354,,
11/1/1960,,7718.306694,,4084.901341,,
12/1/1960,,6446.814041,,2452.371898,,
1/1/1961,,7294.645699,,280.7478904,,
2/1/1961,,7661.293306,,272.0202258,,
3/1/1961,,11364.72679,,1338.022394,,
4/1/1961,,18213.19902,,4508.427649,,
5/1/1961,,23539.7786,,10314.98307,,
6/1/1961,,32916.02559,,12594.81122,,
7/1/1961,,37359.79818,,14731.79611,,
8/1/1961,,30521.29959,,13123.00617,,
9/1/1961,,22806.53789,,10735.78002,,
10/1/1961,,15953.46501,,7214.815015,,
11/1/1961,,9081.689927,,3781.860129,,
12/1/1961,,5692.544037,,2018.289897,,
1/1/1962,,6693.083404,,1124.385532,,
2/1/1962,,5896.359482,,355.4150588,,
3/1/1962,,10218.00767,,584.3871169,,
4/1/1962,,19652.41319,,1043.586039,,
5/1/1962,,22304.05076,,7238.443415,,
6/1/1962,,30652.54459,,12637.5473,,
7/1/1962,,35990.4752,,13626.32652,,
8/1/1962,,31582.95103,,12933.37748,,
9/1/1962,,24678.29764,,9311.343512,,
10/1/1962,,15304.23639,,7034.780439,,
11/1/1962,,9160.55095,,4211.993124,,
12/1/1962,,7134.8825,,2364.388217,,
1/1/1963,,7461.753394,,2465.497057,,
2/1/1963,,7645.689245,,1188.307684,,
3/1/1963,,11308.40351,,3306.218,,
4/1/1963,,13353.60548,,5268.732834,,
5/1/1963,,22596.26614,,8124.818369,,
6/1/1963,,26038.40669,,12666.15947,,
7/1/1963,,34695.6832,,13637.45773,,
8/1/1963,,30497.31181,,12651.53862,,
9/1/1963,,22560.01436,,8515.625389,,
10/1/1963,,14363.86099,,6935.555434,,
11/1/1963,,7495.274115,,4167.520662,,
12/1/1963,,6585.950328,,2110.533033,,
1/1/1964,,6419.730667,,1994.390035,,
2/1/1964,,9234.793264,,539.8206593,,
3/1/1964,,11356.59523,,846.8441814,,
4/1/1964,,16569.07339,,2186.534718,,
5/1/1964,,22688.17931,,7084.635045,,
6/1/1964,,28159.62036,,11708.23496,,
7/1/1964,,35423.35583,,13575.78654,,
8/1/1964,,30585.12211,,13164.25896,,
9/1/1964,,22725.82677,,9169.974904,,
10/1/1964,,17225.02944,,5994.355713,,
11/1/1964,,7847.093176,,4581.29588,,
12/1/1964,,5340.510863,,2229.205494,,
1/1/1965,,4858.028574,,1665.216459,,
2/1/1965,,8481.290272,,459.1121219,,
3/1/1965,,11492.86908,,1276.346372,,
4/1/1965,,13955.90955,,3082.162396,,
5/1/1965,,22818.5469,,8962.213369,,
6/1/1965,,26586.90729,,12386.6483,,
7/1/1965,,33239.01874,,12598.24914,,
8/1/1965,,28369.52931,,13027.41699,,
9/1/1965,,20860.24777,,9523.124564,,
10/1/1965,,17027.37353,,4863.998158,,
11/1/1965,,7300.02674,,4057.599732,,
12/1/1965,,6098.409958,,3020.098561,,
1/1/1966,,5942.584082,,1384.142066,,
2/1/1966,,7263.054242,,310.9648185,,
3/1/1966,,13039.06516,,663.048857,,
4/1/1966,,19011.52257,,2230.934884,,
5/1/1966,,26525.68294,,7970.78182,,
6/1/1966,,29661.4169,,11527.23952,,
7/1/1966,,33774.64426,,12969.91023,,
8/1/1966,,31127.69091,,12635.57917,,
9/1/1966,,22007.07179,,9208.769441,,
10/1/1966,,15538.88825,,5906.432678,,
11/1/1966,,8118.40572,,3885.657992,,
12/1/1966,,5371.371425,,2955.365401,,
1/1/1967,,6010.945,,1435.04623,,
2/1/1967,,7725.665339,,439.9511594,,
3/1/1967,,10454.1741,,2070.770769,,
4/1/1967,,11352.2458,,4352.104677,,
5/1/1967,,22838.08567,,6601.601085,,
6/1/1967,,26106.38399,,10332.83706,,
7/1/1967,,34001.84004,,12924.70095,,
8/1/1967,,31072.98493,,12141.78132,,
9/1/1967,,21395.4874,,9524.560501,,
10/1/1967,,16020.77559,,6307.694475,,
11/1/1967,,8516.47603,,3705.508556,,
12/1/1967,,5604.630149,,3576.584474,,
1/1/1968,,6405.29192,,404.4727105,,
2/1/1968,,6601.606071,,133.3883867,,
3/1/1968,,11240.07791,,797.8962291,,
4/1/1968,,16928.52266,,3676.474287,,
5/1/1968,,23401.35086,,9679.026762,,
6/1/1968,,29730.24298,,12043.41322,,
7/1/1968,,33530.05307,,12941.66562,,
8/1/1968,,26278.63183,,12374.77109,,
9/1/1968,,22261.9147,,8940.656036,,
10/1/1968,,14558.59916,,6019.208811,,
11/1/1968,,7184.466569,,4051.403473,,
12/1/1968,,5520.9888,,3184.756612,,
1/1/1969,,5044.943796,,1640.525634,,
2/1/1969,,5430.967434,,433.7111665,,
3/1/1969,,10474.09709,,564.4175772,,
4/1/1969,,16001.3453,,1455.751579,,
5/1/1969,,24748.37263,,5812.272352,,
6/1/1969,,24839.46981,,12358.32192,,
7/1/1969,,33868.54602,,11896.02664,,
8/1/1969,,32364.21697,,12593.25184,,
9/1/1969,,23608.05782,,9231.642878,,
10/1/1969,,13217.62177,,6971.774886,,
11/1/1969,,9497.572228,,3443.811348,,
12/1/1969,,5788.783941,,2949.49567,,
1/1/1970,,5144.778441,,1449.937631,,
2/1/1970,,8008.781744,,1284.220097,,
3/1/1970,,11786.24071,,2915.771428,,
4/1/1970,,15787.12179,,6223.59382,,
5/1/1970,,25326.71028,,9405.017561,,
6/1/1970,,28686.59049,,12364.52928,,
7/1/1970,,34569.19164,,13368.46024,,
8/1/1970,,31780.90464,,12159.79737,,
9/1/1970,,23368.73173,,9680.75413,,
10/1/1970,,15295.42294,,6661.427553,,
11/1/1970,,7998.77406,,3611.027175,,
12/1/1970,,5244.519586,,2746.439674,,
1/1/1971,,6199.540346,,922.7760545,,
2/1/1971,,7610.896503,,604.8405858,,
3/1/1971,,11762.29951,,590.0078552,,
4/1/1971,,15689.90252,,2179.78094,,
5/1/1971,,19533.83137,,6933.523779,,
6/1/1971,,28109.43642,,11676.10058,,
7/1/1971,,34202.79307,,12443.41766,,
8/1/1971,,30342.11097,,12255.82823,,
9/1/1971,,21806.90417,,9935.405988,,
10/1/1971,,13812.71979,,6564.110082,,
11/1/1971,,7886.110651,,3296.167562,,
12/1/1971,,5478.28769,,2584.359312,,
1/1/1972,,5795.055998,,395.9517672,,
2/1/1972,,8062.395325,,256.2281749,,
3/1/1972,,14096.08171,,1233.42178,,
4/1/1972,,15763.35999,,3146.387381,,
5/1/1972,,24255.14021,,7651.201936,,
6/1/1972,,28575.55984,,11135.91302,,
7/1/1972,,33683.88969,,13186.75155,,
8/1/1972,,29067.3909,,12103.51149,,
9/1/1972,,20244.95124,,9353.927257,,
10/1/1972,,12062.39307,,6710.374149,,
11/1/1972,,6424.250788,,3357.826694,,
12/1/1972,,5090.004521,,2795.63921,,
1/1/1973,,4779.959772,,308.826931,,
2/1/1973,,5715.684236,,120.8876764,,
3/1/1973,,8500.678173,,598.3940177,,
4/1/1973,,15415.97771,,914.3559305,,
5/1/1973,,24881.77293,,4039.901722,,
6/1/1973,,29135.61068,,11140.32972,,
