"date","yd1.Store_StaffGage","yp1.in_situ_average","yp2.TerraClimate","yp3.ERA5","yp4.CRUTS_adj","yp5.MERRA2","yp6.CAPA","yp7.NCEP_NARR","ye1.GLEV","ye2.CRUTS_PET","ye3.REA","ye4.ERA5","ye5.MERRA2","ye6.NCEP_NARR","yr1.DWP"
1944-11-01,,13253.596125,,,19444.5627948258,,,,,8493.28858365299,,,,,
1944-12-01,,7601.15113333333,,,8311.1414190441,,,,,7653.05480467346,,,,,
1945-01-01,,9023.78941666667,,,1739.89969208602,,,,,7279.96909455564,,,,,
1945-02-01,,21691.8668166667,,,26172.2144288854,,,,,7757.16170644629,,,,,
1945-03-01,,14469.6195,,,18716.2703223031,,,,,12146.9330035011,,,,,
1945-04-01,,3307.9788,,,1589.28826131435,,,,,20982.3678963688,,,,,
1945-05-01,,13064.7114916667,,,6946.89073242994,,,,,25983.2564232285,,,,,
1945-06-01,,5732.485,,,5384.758701258,,,,,33129.124560876,,,,,
1945-07-01,,1457.46704166667,,,2225.92037022247,,,,,42129.4353544168,,,,,
1945-08-01,,6692.65086666667,,,2829.59575153318,,,,,35595.3492798228,,,,,
1945-09-01,,2624.449575,,,1027.32802762538,,,,,27553.2769235439,,,,,
1945-10-01,,13587.1348666667,,,11997.6844241302,,,,,17219.0811849377,,,,,
1945-11-01,,7084.71225,,,7990.14928203641,,,,,9237.14929475044,,,,,
1945-12-01,,19133.6288,,,25232.6526797301,,,,,6361.941234803,,,,,
1946-01-01,,4772.66301666667,,,3034.92351536586,,,,,8241.02128738218,,,,,
1946-02-01,,10223.1777,,,6544.78200318262,,,,,9306.76398755571,,,,,
1946-03-01,,12638.0017166667,,,18944.8226939354,,,,,13493.9485027037,,,,,
1946-04-01,,2766.738,,,901.86998448937,,,,,21603.7946382502,,,,,
1946-05-01,,3214.44264166667,,,6081.01166259741,,,,,28156.4981035536,,,,,
1946-06-01,,4335.52675,,,303.956783640287,,,,,34501.1761828093,,,,,
1946-07-01,,1859.20835833333,,,5567.33908158431,,,,,39193.7630201084,,,,,
1946-08-01,,2994.9985,,,351.24571080694,,,,,36553.1318606977,,,,,
1946-09-01,,2286.50805833333,,,2141.95927271123,,,,,27006.0006876714,,,,,
1946-10-01,,10160.502625,,,7779.25672530956,,,,,15711.1844504479,,,,,
1946-11-01,,19575.34965,,,26622.4618258504,,,,,8502.8412411344,,,,,
