Date,Area,Evol,E_month (mm/month)
3-Sep,181.758,29.512,162.3697444
3-Oct,183.539,24.603,134.0478046
3-Nov,181.742,14.718,80.98293185
3-Dec,181.742,6.021,33.12938121
4-Jan,182.679,2.649,14.50084575
4-Feb,182.679,1.13,6.185713738
4-Mar,182.56,3.941,21.58742331
4-Apr,182.008,14.296,78.54599798
4-May,180.745,22.892,126.6535727
4-Jun,179.739,27.631,153.7284618
4-Jul,179.699,32.41,180.3571528
4-Aug,179.895,32.959,183.2124295
4-Sep,179.916,29.18,162.1867983
4-Oct,181.721,20.64,113.5807089
4-Nov,179.9,12.728,70.7504169
4-Dec,179.9,4.43,24.62479155
5-Jan,183.73,1.821,9.911282861
5-Feb,183.73,1.353,7.364066837
5-Mar,183.623,4.995,27.20247464
5-Apr,183.126,9.003,49.16287147
5-May,181.99,16.95,93.13698555
5-Jun,181.086,26.382,145.6876843
5-Jul,181.05,31.076,171.6431925
5-Aug,181.226,33.565,185.2107314
5-Sep,181.245,29.44,162.4320671
5-Oct,182.868,22.167,121.2185839
5-Nov,181.23,14.813,81.73591569
5-Dec,181.23,8.761,48.341886
6-Jan,187.241,4.262,22.76210873
6-Feb,187.241,2.317,12.37442654
6-Mar,187.151,2.994,15.9977772
6-Apr,186.73,5.003,26.79269534
6-May,185.769,16.898,90.96243184
6-Jun,185.004,26.884,145.315777
6-Jul,184.973,32.546,175.9500035
6-Aug,185.122,36.703,198.2638476
6-Sep,185.138,30.377,164.077607
6-Oct,186.512,22.142,118.716222
6-Nov,185.126,14.041,75.84564027
6-Dec,185.126,8.419,45.47713449
7-Jan,187.213,1.43,7.638358447
7-Feb,187.213,1.471,7.857360333
7-Mar,187.132,4.612,24.64570464
7-Apr,186.76,12.536,67.12358107
7-May,185.907,22.078,118.7583039
7-Jun,185.227,29.358,158.4974113
7-Jul,185.201,32.107,173.3629948
7-Aug,185.333,34.199,184.5273103
7-Sep,185.347,28.972,156.3122144
7-Oct,186.566,22.63,121.2975569
7-Nov,185.336,14.335,77.34600941
7-Dec,185.336,8.154,43.99576985
8-Jan,185.694,0.994,5.352892393
8-Feb,185.694,0.124,0.667765248
8-Mar,185.616,4.072,21.93776399
8-Apr,185.252,9.994,53.94813551
8-May,184.421,19.242,104.3373585
8-Jun,183.759,27.74,150.9585925
8-Jul,183.733,32.274,175.6570676
8-Aug,183.862,34.527,187.7875798
8-Sep,183.876,29.361,159.6782614
8-Oct,185.063,23.227,125.5086106
8-Nov,183.865,13.747,74.76681261
8-Dec,183.865,8.794,47.82856987
9-Jan,184.754,2.359,12.76832978
9-Feb,184.754,1.917,10.37595938
9-Mar,184.661,4.275,23.15052989
9-Apr,184.231,9.927,53.88343981
9-May,183.246,18.227,99.46738264
9-Jun,182.462,22.958,125.8234591
9-Jul,182.431,30.248,165.8051537
